-0.5,-0.5,0.5
-0.49986,-0.49973,0.50157
-0.50036,-0.49961,0.50344
-0.50286,-0.49911,0.50371
-0.50622,-0.49672,0.50252
-0.51009,-0.4933,0.5013
-0.51416,-0.48873,0.50101
-0.51852,-0.48212,0.50128
-0.52271,-0.47391,0.5019
-0.52634,-0.46345,0.50197
-0.52969,-0.45046,0.50235
-0.53074,-0.43587,0.50358
-0.52952,-0.421,0.50385
-0.52603,-0.40655,0.50328
-0.51951,-0.39226,0.50279
-0.51166,-0.37788,0.50347
-0.50368,-0.36483,0.505
-0.49587,-0.3535,0.50645
-0.48793,-0.34169,0.50947
-0.47946,-0.32789,0.51236
-0.47243,-0.31216,0.5146
-0.46723,-0.29528,0.51579
-0.46189,-0.27678,0.5164
-0.45539,-0.25562,0.51801
-0.44739,-0.23403,0.52027
-0.43873,-0.21211,0.52287
-0.42886,-0.18842,0.52525
-0.41612,-0.16443,0.52701
-0.40308,-0.13958,0.52745
-0.3918,-0.11267,0.52671
-0.38043,-0.084912,0.52686
-0.36807,-0.05592,0.52796
-0.35657,-0.026094,0.52791
-0.34602,0.0021516,0.52578
-0.33609,0.030158,0.52359
-0.32548,0.059469,0.5224
-0.3127,0.090828,0.52087
-0.2986,0.12487,0.51888
-0.28283,0.15908,0.51691
-0.26745,0.192,0.51479
-0.25388,0.22566,0.51231
-0.2405,0.26007,0.51128
-0.22626,0.2952,0.51047
-0.21109,0.33058,0.50716
-0.19625,0.36418,0.50334
-0.18182,0.39618,0.50201
-0.1687,0.42791,0.5016
-0.15737,0.45827,0.50047
-0.14686,0.48594,0.50023
-0.1375,0.51348,0.50156
-0.12923,0.54256,0.50208
-0.1214,0.57322,0.50237
-0.11442,0.60355,0.50373
-0.10858,0.63191,0.50641
-0.10458,0.65986,0.51065
-0.10124,0.68667,0.51531
-0.096221,0.71099,0.51988
-0.088842,0.73368,0.52415
-0.080621,0.75537,0.5272
-0.072983,0.77618,0.53047
-0.065924,0.79811,0.53508
-0.05874,0.82182,0.54081
-0.050872,0.84432,0.54768
-0.043245,0.86652,0.55518
-0.037137,0.89021,0.56301
-0.032639,0.91369,0.57187
-0.029152,0.93594,0.58337
-0.025581,0.95627,0.59518
-0.020484,0.97411,0.60576
-0.014333,0.99197,0.61521
-0.0075817,1.0097,0.62353
-0.001453,1.0247,0.6319
0.0047023,1.0378,0.64184
0.012906,1.0494,0.65216
0.021827,1.0611,0.66264
0.030912,1.0723,0.67481
0.041948,1.0815,0.68805
0.053964,1.0893,0.70015
0.064854,1.0965,0.71218
0.075606,1.104,0.72409
0.085584,1.1108,0.7343
0.093962,1.1156,0.74515
0.10258,1.1182,0.75561
0.11216,1.1186,0.76522
0.12205,1.119,0.77585
0.13086,1.1208,0.78807
0.13811,1.123,0.80261
0.14366,1.1265,0.81801
0.14772,1.1298,0.83215
0.15255,1.1312,0.84468
0.15959,1.132,0.85759
0.16669,1.1333,0.87286
0.17258,1.134,0.88855
0.1787,1.1339,0.90476
0.18571,1.1329,0.92232
0.19366,1.1291,0.94061
0.2008,1.1242,0.96023
0.20754,1.1197,0.9793
0.21626,1.1139,0.99738
0.22744,1.1063,1.0156
0.2406,1.0991,1.0346
0.25345,1.0923,1.0555
0.26624,1.0861,1.0766
0.27854,1.0811,1.0957
0.29006,1.0769,1.1132
0.30189,1.0722,1.129
0.31383,1.066,1.1422
0.32543,1.0579,1.1541
0.33619,1.0487,1.1646
0.34743,1.041,1.1729
0.35832,1.0343,1.1793
0.36868,1.0286,1.1841
0.37973,1.0255,1.1873
0.39094,1.022,1.1893
0.40188,1.0183,1.1916
0.41256,1.0146,1.1937
0.42243,1.0109,1.195
0.43293,1.0091,1.1958
0.44578,1.0089,1.1956
0.45912,1.0098,1.1964
0.4708,1.0101,1.1977
0.47998,1.0095,1.1973
0.48743,1.0073,1.1957
0.49327,1.0048,1.1944
0.49689,1.0039,1.1931
0.49822,1.0039,1.192
